"Report Refresh Date";"User Principal Name";"Display Name";"Is Deleted";"Deleted Date";"Last Activity Date";"Send Count";"Receive Count";"Read Count";"Meeting Created Count";"Meeting Interacted Count";"Assigned Products";"Report Period"
"2023-07-29";"1295@anonimo.com";;"False";;"2023-07-28";418;2174;1380;33;198;"MICROSOFT 365 AUDIO CONFERENCING+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT STREAM TRIAL+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4825@anonimo.com";;"False";;"2023-07-28";178;2950;849;0;0;"MICROSOFT 365 E3";180
"2023-07-29";"3498@anonimo.com";;"False";;"2023-07-28";519;218587;9628;0;2;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4686@anonimo.com";;"False";;"2023-06-06";948;2314;2200;145;77;;180
"2023-07-29";"5312@anonimo.com";;"False";;"2023-07-11";8;179;1;2;1;"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"3589@anonimo.com";;"False";;"2023-07-28";665;5821;2695;90;139;"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5603@anonimo.com";;"False";;"2023-07-29";577;12107;4091;29;12;"MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING";180
"2023-07-29";"1170@anonimo.com";;"False";;"2023-07-28";182;3917;3924;7;159;"MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3+VISIO PLAN 2";180
"2023-07-29";"5309@anonimo.com";;"False";;"2023-07-28";57;473;165;17;35;"MICROSOFT 365 E5+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"1401@anonimo.com";;"False";;"2023-07-28";250;1324;1118;41;38;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+POWER BI PRO";180
"2023-07-29";"5211@anonimo.com";;"False";;"2023-07-28";5557;56606;21397;0;26;"MICROSOFT 365 AUDIO CONFERENCING+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT STREAM TRIAL+MICROSOFT POWER AUTOMATE FREE+ENTERPRISE MOBILITY + SECURITY E3";180
"2023-07-29";"4376@anonimo.com";;"False";;"2023-07-11";576;2304;1548;5;80;;180
"2023-07-29";"1000@anonimo.com";;"False";;"2023-07-26";38;216;117;5;11;"POWER BI PRO+MICROSOFT 365 F1";180
"2023-07-29";"1350@anonimo.com";;"False";;"2023-07-28";221;25584;938;5;110;"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+POWER BI PRO";180
"2023-07-29";"1313@anonimo.com";;"False";;"2023-07-28";620;2155;2235;98;33;"MICROSOFT 365 E5+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4291@anonimo.com";;"False";;"2023-07-29";497;2368;2280;52;115;"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"958@anonimo.com";;"False";;"2023-07-29";1094;6916;6992;117;109;"MICROSOFT 365 AUDIO CONFERENCING+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"4828@anonimo.com";;"False";;"2023-07-28";857;6519;5862;87;211;"PROJECT PLAN 5+ENTERPRISE MOBILITY + SECURITY E3+MICROSOFT 365 E5+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT POWER AUTOMATE FREE";180
"2023-07-29";"5844@anonimo.com";;"False";;"2023-07-29";877;7326;8046;107;24;"MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 AUDIO CONFERENCING+WINDOWS 10/11 ENTERPRISE E5+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING";180
