"Report Refresh Date";"User Principal Name";"Display Name";"Is Deleted";"Deleted Date";"Last Activity Date";"Report Period";"Created Date";"Item Count";"Storage Used (Byte)";"Issue Warning Quota (Byte)";"Prohibit Send Quota (Byte)";"Prohibit Send/Receive Quota (Byte)";"Deleted Item Count";"Deleted Item Size (Byte)";"Deleted Item Quota (Byte)";"Has Archive";"Recipient Type"
"2023-07-29";"3670@anonimo.com";;"False";;"2023-07-28";180;"2022-01-17";10067;2052976728;2104492032;2125463552;2147483648;1826;203792330;107374182400;"False";"User"
"2023-07-29";"4091@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";7501;1905362731;2104492032;2125463552;2147483648;59436;4699890363;107374182400;"False";"User"
"2023-07-29";"1166@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";7769;1832155798;2104492032;2125463552;2147483648;11834;1312575145;107374182400;"False";"User"
"2023-07-29";"4796@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";4214;1795073798;2104492032;2125463552;2147483648;1377;769973475;107374182400;"False";"User"
"2023-07-29";"5044@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";7122;1750107908;2104492032;2125463552;2147483648;21967;4109137202;107374182400;"False";"User"
"2023-07-29";"4638@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";453612;85898845217;105226698752;106300440576;107374182400;106016;37885841613;107374182400;"False";"Shared"
"2023-07-29";"3275@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";299995;85668436537;105226698752;106300440576;107374182400;232253;46813147628;107374182400;"False";"User"
"2023-07-29";"3585@anonimo.com";;"False";;"2023-07-28";180;"2021-09-30";14120;1707498774;2104492032;2125463552;2147483648;14689;553745572;107374182400;"False";"User"
"2023-07-29";"5473@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";322511;80600537244;105226698752;106300440576;107374182400;98952;18379733883;107374182400;"False";"User"
"2023-07-29";"3189@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";499943;80410534644;105226698752;106300440576;107374182400;107414;10341685351;107374182400;"False";"User"
"2023-07-29";"4108@anonimo.com";;"False";;"2023-05-25";180;"2021-01-24";13519;1600993771;2104492032;2125463552;2147483648;1368;2413943070;107374182400;"False";"User"
"2023-07-29";"5057@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";285894;77930679310;105226698752;106300440576;107374182400;16806;4375129291;107374182400;"False";"User"
"2023-07-29";"3972@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";176587;75399629254;105226698752;106300440576;107374182400;64257;12386882958;107374182400;"False";"User"
"2023-07-29";"5511@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";402776;72722579546;105226698752;106300440576;107374182400;84057;12625194288;107374182400;"False";"User"
"2023-07-29";"5261@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";240105;68571031035;105226698752;106300440576;107374182400;94892;20101662989;107374182400;"False";"User"
"2023-07-29";"5131@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";246219;68513040902;105226698752;106300440576;107374182400;246432;21354961455;107374182400;"False";"User"
"2023-07-29";"1112@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";5596;1349007204;2104492032;2125463552;2147483648;19263;1630562018;107374182400;"False";"User"
"2023-07-29";"4417@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";196266;57960302036;105226698752;106300440576;107374182400;63371;12639931868;107374182400;"False";"Shared"
"2023-07-29";"4329@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";621766;57750824268;105226698752;106300440576;107374182400;220175;16122401197;107374182400;"False";"User"
"2023-07-29";"4443@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";223214;55938117514;105226698752;106300440576;107374182400;111186;14553845963;107374182400;"False";"User"
"2023-07-29";"5334@anonimo.com";;"False";;;180;"2023-07-10";96989;27775376534;52613349376;53150220288;53687091200;25926;3919221585;107374182400;"False";"Shared"
"2023-07-29";"5777@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";171872;55039302788;105226698752;106300440576;107374182400;62050;10193146670;107374182400;"False";"User"
"2023-07-29";"4450@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";483470;53950616539;105226698752;106300440576;107374182400;347008;30417427004;107374182400;"False";"User"
"2023-07-29";"4598@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";589674;53754347451;105226698752;106300440576;107374182400;6244;889903293;107374182400;"False";"User"
"2023-07-29";"4262@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";271481;53340616512;105226698752;106300440576;107374182400;66943;5831110294;107374182400;"False";"User"
"2023-07-29";"5694@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";197870;52749103409;105226698752;106300440576;107374182400;136754;17941725687;107374182400;"False";"User"
"2023-07-29";"3724@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";227808;52512182064;105226698752;106300440576;107374182400;92116;6132832576;107374182400;"False";"User"
"2023-07-29";"4945@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";222495;52208805483;105226698752;106300440576;107374182400;90506;10800901386;107374182400;"False";"User"
"2023-07-29";"4200@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";419216;50296213598;105226698752;106300440576;107374182400;374041;21869490031;107374182400;"False";"User"
"2023-07-29";"5080@anonimo.com";;"False";;"2023-07-28";180;"2023-04-13";7693;999498520;2104492032;2125463552;2147483648;4978;252822745;107374182400;"False";"User"
"2023-07-29";"3560@anonimo.com";;"False";;"2023-07-28";180;"2023-02-17";5324;997904498;2104492032;2125463552;2147483648;13600;1702071314;107374182400;"False";"User"
"2023-07-29";"4116@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";131813;49016346701;105226698752;106300440576;107374182400;29915;4639586180;107374182400;"False";"User"
"2023-07-29";"4618@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";166889;48958169590;105226698752;106300440576;107374182400;246142;62811496941;107374182400;"False";"User"
"2023-07-29";"3386@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";7683;957436772;2104492032;2125463552;2147483648;1126;257756360;107374182400;"False";"User"
"2023-07-29";"3631@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";187691;47424405773;105226698752;106300440576;107374182400;203023;32196356387;107374182400;"False";"User"
"2023-07-29";"3299@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";449448;43208257959;105226698752;106300440576;107374182400;279505;16143638543;107374182400;"False";"User"
"2023-07-29";"4065@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";311674;42975750154;105226698752;106300440576;107374182400;55429;13256998317;107374182400;"False";"User"
"2023-07-29";"1421@anonimo.com";;"False";;"2023-07-28";180;"2022-06-06";173690;20612864898;52613349376;53150220288;53687091200;24237;2702396371;107374182400;"False";"User"
"2023-07-29";"4750@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";180410;41148570395;105226698752;106300440576;107374182400;92773;8665704903;107374182400;"False";"User"
"2023-07-29";"5582@anonimo.com";;"False";;"2023-07-29";180;"2021-01-24";128510;41107258129;105226698752;106300440576;107374182400;42236;4173126090;107374182400;"False";"User"
"2023-07-29";"4078@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";146171;41050502580;105226698752;106300440576;107374182400;15303;1318424566;107374182400;"False";"User"
"2023-07-29";"3626@anonimo.com";;"False";;"2023-07-28";180;"2021-01-24";101670;40979969660;105226698752;106300440576;107374182400;62571;8659994552;107374182400;"False";"User"
