"Report Refresh Date";"User Principal Name";"Last Activity Date";"Report Period";"Last Activation Date";"Windows";"Mac";"Mobile";"Web";"Outlook";"Word";"Excel";"PowerPoint";"OneNote";"Teams";"Outlook (Windows)";"Word (Windows)";"Excel (Windows)";"PowerPoint (Windows)";"OneNote (Windows)";"Teams (Windows)";"Outlook (Mac)";"Word (Mac)";"Excel (Mac)";"PowerPoint (Mac)";"OneNote (Mac)";"Teams (Mac)";"Outlook (Mobile)";"Word (Mobile)";"Excel (Mobile)";"PowerPoint (Mobile)";"OneNote (Mobile)";"Teams (Mobile)";"Outlook (Web)";"Word (Web)";"Excel (Web)";"PowerPoint (Web)";"OneNote (Web)";"Teams (Web)"
"2023-07-29";"3709@anonimo.com";"2023-07-29";180;"2021-09-27";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No"
"2023-07-29";"4587@anonimo.com";"2023-07-28";180;"2022-05-04";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"No";"No";"No";"No";"No";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No"
"2023-07-29";"4796@anonimo.com";"2023-07-29";180;;"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Yes";"Yes";"Yes";"Yes";"No";"No";"Yes"
"2023-07-29";"1419@anonimo.com";"2023-07-29";180;"2022-10-04";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"No"
"2023-07-29";"1141@anonimo.com";"2023-07-29";180;"2023-07-20";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"No";"No";"No";"No";"No";"No";"Yes";"No";"No";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes"
"2023-07-29";"3947@anonimo.com";"2023-07-29";180;"2023-06-22";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"No";"No";"No";"No";"No";"Yes";"Yes";"No";"No";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"2023-07-29";"1129@anonimo.com";"2023-07-29";180;"2023-06-05";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"No";"No";"Yes";"No";"Yes";"Yes";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Yes";"No";"Yes";"No";"Yes"
"2023-07-29";"1234@anonimo.com";"2023-07-29";180;"2023-07-04";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"No";"No";"No";"No";"No";"No";"Yes";"Yes";"No";"No";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"No"
"2023-07-29";"5845@anonimo.com";"2023-07-28";180;"2022-08-03";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"No";"No";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes"
"2023-07-29";"5311@anonimo.com";"2023-07-28";180;"2023-04-17";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"No";"No";"No";"No";"No";"No";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No"
"2023-07-29";"3549@anonimo.com";"2023-07-29";180;"2022-12-07";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"No";"Yes";"Yes";"Yes";"Yes";"No";"No";"Yes";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"No";"Yes";"Yes";"Yes";"Yes";"No";"No";"Yes"
"2023-07-29";"5821@anonimo.com";"2023-07-29";180;"2022-09-14";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes";"No";"No";"No";"No";"No";"No";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"No";"Yes"
