"Report Refresh Date";"User Principal Name";"Is Deleted";"Deleted Date";"Last Activity Date";"Assigned Products";"Report Period";"User Id";"Is External";"Team Chat Message Count";"Private Chat Message Count";"Call Count";"Meeting Count";"Meetings Organized Count";"Meetings Attended Count";"Ad Hoc Meetings Organized Count";"Ad Hoc Meetings Attended Count";"Scheduled One-time Meetings Organized Count";"Scheduled One-time Meetings Attended Count";"Scheduled Recurring Meetings Organized Count";"Scheduled Recurring Meetings Attended Count";"Audio Duration";"Video Duration";"Screen Share Duration";"Audio Duration In Seconds";"Video Duration In Seconds";"Screen Share Duration In Seconds";"Has Other Action";"Urgent Messages";"Post Messages";"Tenant Display Name";"Shared Channel Tenant Display Names";"Reply Messages";"Is Licensed"
"2023-07-30";"4259@anonimo.com";"False";;"2023-06-01";;180;"cf47dd8a-1ab8-4f04-ba82-fcbcb1201aac";"False";0;0;0;0;0;0;0;0;0;0;0;0;"PT0S";"PT0S";"PT0S";0;0;0;"Yes";0;0;;;0;"No"
"2023-07-30";"1319@anonimo.com";"False";;"2023-03-16";;180;"81a186cf-22b3-4978-a378-6a6d98ddb0b6";"False";0;0;0;0;0;0;0;0;0;0;0;0;"PT0S";"PT0S";"PT0S";0;0;0;"Yes";0;0;;;0;"No"
"2023-07-30";"1295@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 AUDIO CONFERENCING+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+WINDOWS 10/11 ENTERPRISE E5+MICROSOFT STREAM TRIAL+MICROSOFT POWER AUTOMATE FREE";180;"19db9def-b565-4a5b-901a-fe298b232b0a";"False";7;10667;237;255;44;255;14;60;30;135;0;59;"P11DT20H23M9S";"P2DT14H26M51S";"P10DT4H38M25S";1023789;224811;880705;"No";0;4;;;3;"Yes"
"2023-07-30";"4825@anonimo.com";"False";;"2023-07-30";"MICROSOFT 365 E3";180;"d5bad7ca-1ae9-462f-8171-06d69adbb67e";"False";0;1343;43;27;1;27;1;4;0;14;0;9;"PT20H9M42S";"PT16H52M33S";"PT12H29S";72582;60753;43229;"No";0;0;;;0;"Yes"
"2023-07-30";"3498@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE";180;"a06d885c-c5a5-49ea-86c8-7db91f699315";"False";0;606;9;6;2;6;2;4;0;1;0;0;"PT3H19M1S";"PT1H2M53S";"PT3H35M47S";11941;3773;12947;"No";0;0;;;0;"Yes"
"2023-07-30";"4686@anonimo.com";"False";;"2023-07-13";;180;"457f3c26-7d39-4c1c-b3ea-8554e9d7495e";"False";0;3432;38;303;173;303;13;36;61;123;99;144;"P10DT16H42M56S";"P2DT11H35M7S";"P8DT4H40M";924176;214507;708000;"No";0;0;;;0;"Yes"
"2023-07-30";"5312@anonimo.com";"False";;"2023-07-29";"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180;"2e3c9e12-face-4df7-b15c-3d38e7d9bdfe";"False";0;897;48;43;9;43;0;3;5;15;4;25;"P3DT12H56M36S";"PT8H54M50S";"P3DT7H20M4S";305796;32090;285604;"No";0;0;;;0;"Yes"
"2023-07-30";"3589@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 E3+MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE";180;"b6233d71-6674-40f9-b0ad-f4f13c7e47ec";"False";0;4464;173;146;50;146;6;35;44;96;0;15;"P4DT3H40M1S";"P3DT3H51M38S";"P3DT50M47S";358801;273098;262247;"No";0;0;;;0;"Yes"
"2023-07-30";"5603@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 AUDIO CONFERENCING+MICROSOFT POWER AUTOMATE FREE+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING";180;"74452e15-d061-4060-b4f9-2ff34c9112bb";"False";0;9786;150;99;33;99;11;43;22;36;0;20;"P3DT13H11M7S";"P1DT5H47M6S";"P2DT19H23M11S";306667;107226;242591;"No";0;0;;;0;"Yes"
"2023-07-30";"1170@anonimo.com";"False";;"2023-07-28";"MICROSOFT FABRIC (FREE)+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 E3+VISIO PLAN 2";180;"65253fd8-b548-4190-84d2-d90461ef86ad";"False";0;4528;100;445;15;445;10;55;5;141;0;249;"P13DT23H4M6S";"P1DT19H19M15S";"P12DT7H52M50S";1206246;155955;1065170;"No";0;0;;;0;"Yes"
"2023-07-30";"4959@anonimo.com";"False";;"2023-03-23";"MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)";180;"e1c5bd0a-dec2-4aca-bb2e-68130320b119";"False";0;0;0;0;0;0;0;0;0;0;0;0;"PT0S";"PT0S";"PT0S";0;0;0;"Yes";0;0;;;0;"No"
"2023-07-30";"5309@anonimo.com";"False";;"2023-07-30";"MICROSOFT 365 E5+MICROSOFT POWER AUTOMATE FREE";180;"acfcc866-6179-4f11-8023-c15fcec73707";"False";0;1894;73;80;26;80;2;9;9;18;15;53;"P4DT11H47M3S";"PT23H45M54S";"P4DT4H3M29S";388023;85554;360209;"No";0;0;;;0;"Yes"
"2023-07-30";"1401@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 E3+MICROSOFT POWER AUTOMATE FREE+POWER BI PRO";180;"2926d661-5cf9-4d08-9085-2e3d0f9768cf";"False";0;6090;235;117;53;117;7;31;46;85;0;1;"P4DT18H44M50S";"PT12H12M33S";"P4DT3H4M33S";413090;43953;356673;"No";0;0;;;0;"Yes"
"2023-07-30";"5211@anonimo.com";"False";;"2023-07-28";"MICROSOFT 365 AUDIO CONFERENCING+OFFICE 365 E5 WITHOUT AUDIO CONFERENCING+MICROSOFT STREAM TRIAL+MICROSOFT POWER AUTOMATE FREE+ENTERPRISE MOBILITY + SECURITY E3";180;"7ad7bbd5-7c56-4a7b-a271-9b45de8ece14";"False";0;13444;881;315;70;315;70;281;0;34;0;0;"P8DT8H36M1S";"PT18H47M48S";"P3DT13H40M3S";722161;67668;308403;"No";0;0;;;0;"Yes"
"2023-07-30";"4376@anonimo.com";"False";;"2023-07-19";;180;"d634f9f3-de3d-4a02-b16c-c3eda92c20a9";"False";0;3040;137;215;24;215;20;84;3;57;0;74;"P9DT10H58M2S";"PT14H51M15S";"P7DT16H45M24S";817082;53475;665124;"No";0;0;;;0;"Yes"
"2023-07-30";"1000@anonimo.com";"False";;"2023-07-28";"POWER BI PRO+MICROSOFT 365 F1";180;"b91e98ed-f75b-4c2c-81b7-79240e6ac689";"False";0;3117;87;52;6;52;1;9;5;43;0;0;"P1DT15H30M21S";"PT7M21S";"P1DT9H33M33S";142221;441;120813;"No";0;0;;;0;"Yes"
"2023-07-30";"1433@anonimo.com";"False";;"2023-07-20";"MICROSOFT POWER AUTOMATE FREE+MICROSOFT FABRIC (FREE)";180;"b34f7399-c875-41fb-9dc1-1f8fba5b3fd5";"False";0;0;0;0;0;0;0;0;0;0;0;0;"PT0S";"PT0S";"PT0S";0;0;0;"Yes";0;0;;;0;"No"
